frame id, time, X, Y, Z
66814, 0.9864653, 0, -0.09183408, 1.245495, -9.203767
66816, 1.020604, 0, -0.09461564, 1.250767, -9.195036
66817, 1.033495, 0, -0.09452771, 1.251521, -9.190493
66817, 1.044444, 0, -0.09439684, 1.252102, -9.186419
66818, 1.051829, 0, -0.09400773, 1.251176, -9.185
66818, 1.057882, 0, -0.09381798, 1.251001, -9.183196
66818, 1.063847, 0, -0.09361038, 1.250809, -9.181222
66819, 1.071244, 0, -0.09270935, 1.249874, -9.178758
66819, 1.076383, 0, -0.09233302, 1.249495, -9.177032
66820, 1.083801, 0, -0.09153382, 1.248566, -9.174747
66820, 1.088979, 0, -0.09106736, 1.248048, -9.173154
66820, 1.095068, 0, -0.09050696, 1.247425, -9.17124
66820, 1.10167, 0, -0.0898737, 1.246721, -9.169078
66821, 1.107079, 0, -0.08931221, 1.245661, -9.167032
66821, 1.113194, 0, -0.08871645, 1.244847, -9.164954
66821, 1.120029, 0, -0.08801644, 1.243891, -9.162512
66822, 1.126263, 0, -0.0881751, 1.243339, -9.162288
66822, 1.133122, 0, -0.0877566, 1.242504, -9.160561
66822, 1.138926, 0, -0.08740154, 1.241795, -9.159096
66823, 1.144142, 0, -0.0868157, 1.239654, -9.157007
66823, 1.150183, 0, -0.08635701, 1.238388, -9.155233
66823, 1.156663, 0, -0.08586852, 1.237041, -9.153343
66824, 1.16301, 0, -0.08602686, 1.234827, -9.150742
66824, 1.170781, 0, -0.08572948, 1.232786, -9.148111
66825, 1.177395, 0, -0.08500348, 1.230823, -9.146515
66825, 1.184181, 0, -0.08443195, 1.228698, -9.144333
66825, 1.19186, 0, -0.08386676, 1.226596, -9.142174
66826, 1.198043, 0, -0.08355695, 1.225785, -9.141107
66826, 1.204261, 0, -0.08311364, 1.224272, -9.139459
66827, 1.211925, 0, -0.08270161, 1.222499, -9.137731
66827, 1.217909, 0, -0.08234499, 1.221115, -9.136315
66827, 1.224605, 0, -0.08190696, 1.219416, -9.134578
66828, 1.232599, 0, -0.08104476, 1.217251, -9.132537
66828, 1.238894, 0, -0.08055639, 1.215764, -9.131075
66828, 1.244921, 0, -0.08003505, 1.214175, -9.129514
66829, 1.252258, 0, -0.07989691, 1.213433, -9.128943
66829, 1.256943, 0, -0.07960744, 1.212474, -9.128039
66829, 1.263453, 0, -0.07918005, 1.211057, -9.126704
66830, 1.270766, 0, -0.07842225, 1.2095, -9.124681
66830, 1.277534, 0, -0.07786345, 1.208023, -9.123072
66830, 1.284346, 0, -0.07731308, 1.206568, -9.121486
66831, 1.291075, 0, -0.07714958, 1.205959, -9.120017
66831, 1.296572, 0, -0.07679455, 1.204968, -9.1187
66831, 1.304093, 0, -0.07630101, 1.203591, -9.116869
66832, 1.311707, 0, -0.0756059, 1.202296, -9.11517
66832, 1.317961, 0, -0.07514912, 1.201208, -9.113731
66833, 1.324946, 0, -0.07438299, 1.199647, -9.10997
66833, 1.331226, 0, -0.07384118, 1.198461, -9.107728
66833, 1.337675, 0, -0.07325958, 1.197189, -9.105321
66834, 1.344007, 0, -0.07287957, 1.195551, -9.104355
66834, 1.350383, 0, -0.07239944, 1.194171, -9.102615
66834, 1.356688, 0, -0.07191186, 1.19277, -9.100849
66835, 1.363087, 0, -0.07147872, 1.191199, -9.09929
66835, 1.37001, 0, -0.07100469, 1.189699, -9.097577
66835, 1.375886, 0, -0.07058384, 1.188368, -9.096056
66836, 1.383708, 0, -0.07012451, 1.186924, -9.094626
66836, 1.392596, 0, -0.06959251, 1.185245, -9.092807
66837, 1.402932, 0, -0.06872231, 1.182314, -9.090214
66837, 1.411922, 0, -0.06807686, 1.180187, -9.088194
66838, 1.421072, 0, -0.06743447, 1.177606, -9.086544
66838, 1.426591, 0, -0.06703912, 1.176161, -9.085417
66838, 1.434623, 0, -0.0664345, 1.173951, -9.083694
66839, 1.440815, 0, -0.0659411, 1.17168, -9.082582
66839, 1.44723, 0, -0.0654553, 1.169747, -9.081298
66839, 1.454365, 0, -0.06493299, 1.167668, -9.079917
66840, 1.461358, 0, -0.06446968, 1.162933, -9.077799
66840, 1.468889, 0, -0.06394945, 1.159874, -9.076118
66841, 1.474369, 0, -0.06391715, 1.157698, -9.075603
66841, 1.48016, 0, -0.06363496, 1.155218, -9.074522
66841, 1.487411, 0, -0.06329176, 1.152202, -9.073207
66842, 1.494225, 0, -0.06347559, 1.14949, -9.072971
66842, 1.500743, 0, -0.063364, 1.146786, -9.072169
66842, 1.507794, 0, -0.06324665, 1.143942, -9.071326
66843, 1.514239, 0, -0.06392005, 1.141905, -9.071115
66843, 1.522401, 0, -0.06411822, 1.138748, -9.07035
66844, 1.528175, 0, -0.06484579, 1.137306, -9.070073
66844, 1.534312, 0, -0.0652215, 1.135268, -9.069608
66844, 1.541072, 0, -0.06565341, 1.132925, -9.069073
66845, 1.547868, 0, -0.06654568, 1.130663, -9.068692
66845, 1.554723, 0, -0.06710453, 1.12858, -9.068267
66845, 1.561185, 0, -0.06770876, 1.126328, -9.067807
66846, 1.568652, 0, -0.06879881, 1.124575, -9.067387
66846, 1.574811, 0, -0.06946817, 1.122803, -9.067005
66846, 1.580835, 0, -0.07021579, 1.120823, -9.066579
66847, 1.588289, 0, -0.071302, 1.120005, -9.066051
66847, 1.595906, 0, -0.07228756, 1.11818, -9.065525
66848, 1.603299, 0, -0.07449684, 1.11688, -9.064919
66848, 1.610355, 0, -0.07590558, 1.115407, -9.064401
66848, 1.617322, 0, -0.07731393, 1.113936, -9.063882
66849, 1.624616, 0, -0.07773235, 1.113407, -9.063765
66849, 1.631399, 0, -0.07878591, 1.112269, -9.063392
66849, 1.638492, 0, -0.0796611, 1.111323, -9.063082
66850, 1.646702, 0, -0.08068773, 1.110606, -9.06286
66850, 1.653966, 0, -0.08158734, 1.109758, -9.062588
66850, 1.661466, 0, -0.08261776, 1.108787, -9.062274
66851, 1.668591, 0, -0.08413857, 1.108373, -9.062445
66851, 1.674078, 0, -0.08503559, 1.107774, -9.062325
66851, 1.679804, 0, -0.08594355, 1.107168, -9.062203
66852, 1.687136, 0, -0.08643249, 1.106599, -9.062502
